time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-26T04:48:32.480Z,37.8831,36.4031,10,4.2,mb,37,43,0.306,0.61,us,us7000jvy7,2023-07-11T01:44:45.040Z,"17 km SSW of Göksun, Turkey",earthquake,3.18,1.89,0.216,6,reviewed,us,us
2023-04-25T22:14:08.550Z,38.0275,37.3069,5,4,mb,32,61,0.613,0.66,us,us7000jvwd,2023-07-11T01:44:30.040Z,"11 km ESE of Ekinözü, Turkey",earthquake,4.07,1.968,0.156,11,reviewed,us,us
2023-04-16T22:55:57.458Z,38.0743,36.7493,10,4,mb,31,54,0.422,0.57,us,us6000k4y1,2023-07-03T02:47:38.040Z,"22 km ENE of Göksun, Turkey",earthquake,2.31,1.95,0.172,9,reviewed,us,us
2023-04-15T21:51:02.286Z,37.6037,37.1654,10,4.1,mb,50,53,0.233,0.53,us,us6000k4sz,2023-06-17T21:36:57.040Z,"Central Turkey",earthquake,4.29,1.887,0.151,12,reviewed,us,us
2023-04-15T09:37:21.889Z,37.9156,36.2978,2.813,4.3,mb,31,49,0.337,0.52,us,us6000k4n3,2023-06-17T21:36:56.040Z,"",earthquake,1.71,5.938,0.126,18,reviewed,us,us
2023-04-11T08:17:42.872Z,37.897,36.4435,10,4.3,mb,40,38,0.326,1.02,us,us6000k3g6,2023-06-17T21:36:45.040Z,"14 km SSW of Göksun, Turkey",earthquake,3.47,1.908,0.217,6,reviewed,us,us
2023-04-10T22:45:09.830Z,37.4535,37.1254,15.554,4,mb,41,66,0.187,0.97,us,us6000k3dd,2023-06-17T21:36:44.040Z,"15 km WSW of Pazarcık, Turkey",earthquake,5.11,3.284,0.113,21,reviewed,us,us
2023-04-08T00:26:44.575Z,38.1056,36.8693,5.63,4.1,mb,35,56,0.466,0.48,us,us6000k2s7,2023-06-13T03:12:28.040Z,"16 km SSW of Afşin, Turkey",earthquake,2.41,8.014,0.234,5,reviewed,us,us
2023-04-03T12:44:15.375Z,38.0591,37.7701,10,4.1,mwr,34,64,0.884,0.69,us,us6000k1pg,2023-06-13T03:13:14.040Z,"",earthquake,1.89,1.87,0.071,19,reviewed,us,us
2023-04-03T10:52:56.171Z,38.013,37.7709,10,4.3,mb,54,91,0.856,1.01,us,us6000k1p0,2023-06-13T03:13:15.040Z,"11 km SW of Doğanşehir, Turkey",earthquake,4.96,1.898,0.133,16,reviewed,us,us
2023-04-03T03:45:49.031Z,37.9347,36.2862,5,4.4,mb,47,50,0.357,0.5,us,us6000k1n0,2023-06-13T03:13:18.040Z,"18 km ESE of Saimbeyli, Turkey",earthquake,2.13,1.888,0.131,17,reviewed,us,us
2023-03-29T21:44:22.024Z,37.786,36.5257,10,4.3,mb,59,52,0.251,0.65,us,us6000k0re,2023-06-03T22:06:07.040Z,"26 km S of Göksun, Turkey",earthquake,5.14,1.715,0.099,29,reviewed,us,us
2023-03-29T20:08:37.009Z,37.3405,36.8426,3.865,4.1,mb,39,70,0.171,0.74,us,us6000k0qm,2023-06-03T22:06:06.040Z,"Central Turkey",earthquake,3.81,5.831,0.174,9,reviewed,us,us
2023-03-29T16:47:02.108Z,37.9287,36.2781,3.848,4.5,mb,99,58,0.352,0.73,us,us6000k0ne,2023-06-03T22:06:06.040Z,"17 km ESE of Saimbeyli, Turkey",earthquake,3.46,4.654,0.066,68,reviewed,us,us
2023-03-28T10:55:16.146Z,37.6759,36.3106,16.767,4.3,mb,27,147,0.1,0.99,us,us6000k0a8,2023-06-03T22:06:03.040Z,"11 km NNW of Andırın, Turkey",earthquake,3.71,4.536,0.177,9,reviewed,us,us
2023-03-27T14:35:16.141Z,38.0816,36.5466,8.93,4.4,mwr,106,27,0.34,0.76,us,us7000jn0d,2023-06-03T22:06:27.040Z,"K. Maras, Turkey",earthquake,2.95,4.016,0.06,27,reviewed,us,us
